time,consumption_kw
2019-01-01 00:10:00,0.88061524
2019-01-01 01:10:00,0.41992188
2019-01-01 02:10:00,0.3798828
2019-01-01 03:10:00,0.36010742
2019-01-01 04:10:00,0.36523438
2019-01-01 05:10:00,0.5197754
2019-01-01 06:10:00,0.39526366
2019-01-01 07:10:00,0.45996094
2019-01-01 08:10:00,0.45996094
2019-01-01 09:10:00,0.50512696
2019-01-01 10:10:00,0.4345703
2019-01-01 11:10:00,0.48022462
2019-01-01 12:10:00,0.43969726
2019-01-01 13:10:00,0.73046876
2019-01-01 14:10:00,0.89453124
2019-01-01 15:10:00,0.875
2019-01-01 16:10:00,0.7150879
2019-01-01 17:10:00,2.13012694
2019-01-01 18:10:00,1.02001954
2019-01-01 19:10:00,0.86035156
2019-01-01 20:10:00,0.859375
2019-01-01 21:10:00,1.02539062
2019-01-01 22:10:00,1.3449707
2019-01-01 23:10:00,1.16992188
2019-01-02 00:10:00,1.71948242
2019-01-02 01:10:00,1.34545898
2019-01-02 02:10:00,2.15454102
2019-01-02 03:10:00,0.77539062
2019-01-02 04:10:00,0.48535158
2019-01-02 05:10:00,0.59472656
2019-01-02 06:10:00,0.5
2019-01-02 07:10:00,0.33984374
2019-01-02 08:10:00,0.54003906
2019-01-02 09:10:00,0.48999024
2019-01-02 10:10:00,0.75
2019-01-02 11:10:00,0.40039062
2019-01-02 12:10:00,0.56958008
2019-01-02 13:10:00,0.69018556
2019-01-02 14:10:00,0.71020506
2019-01-02 15:10:00,1.35961914
2019-01-02 16:10:00,2.28515626
2019-01-02 17:10:00,2.4453125
2019-01-02 18:10:00,1.38964844
2019-01-02 19:10:00,2.1599121
2019-01-02 20:10:00,1.42504884
2019-01-02 21:10:00,2.31518554
2019-01-02 22:10:00,1.20019532
2019-01-02 23:10:00,1.7644043
2019-01-03 00:10:00,0.7902832
2019-01-03 01:10:00,1.24511718
2019-01-03 02:10:00,0.70996094
2019-01-03 03:10:00,0.36010742
2019-01-03 04:10:00,0.3449707
2019-01-03 05:10:00,0.53491212
2019-01-03 06:10:00,0.33984374
2019-01-03 07:10:00,0.8852539
2019-01-03 08:10:00,1.17944336
2019-01-03 09:10:00,1.4951172
2019-01-03 10:10:00,0.41992188
2019-01-03 11:10:00,0.38061522
2019-01-03 12:10:00,0.83984376
2019-01-03 13:10:00,0.54003906
2019-01-03 14:10:00,0.78442382
2019-01-03 15:10:00,0.71557618
2019-01-03 16:10:00,0.78442382
2019-01-03 17:10:00,0.86547852
2019-01-03 18:10:00,1.46972656
2019-01-03 19:10:00,1.20483398
2019-01-03 20:10:00,1.4104004
2019-01-03 21:10:00,1.375
2019-01-03 22:10:00,0.87475586
2019-01-03 23:10:00,0.86523438
2019-01-04 00:10:00,0.9345703
2019-01-04 01:10:00,0.74023438
2019-01-04 02:10:00,0.75976562
2019-01-04 03:10:00,0.70019532
2019-01-04 04:10:00,0.45507812
2019-01-04 05:10:00,0.48022462
2019-01-04 06:10:00,0.50512694
2019-01-04 07:10:00,0.59472656
2019-01-04 08:10:00,0.37988282
2019-01-04 09:10:00,0.45996094
2019-01-04 10:10:00,0.34057618
2019-01-04 11:10:00,0.60473632
2019-01-04 12:10:00,0.70019532
2019-01-04 13:10:00,0.71972656
2019-01-04 14:10:00,0.78027344
2019-01-04 15:10:00,0.75976562
2019-01-04 16:10:00,1.0246582
2019-01-04 17:10:00,0.89526368
2019-01-04 18:10:00,1.54003906
2019-01-04 19:10:00,1.71972656
2019-01-04 20:10:00,1.02539062
2019-01-04 21:10:00,1.97460938
2019-01-04 22:10:00,0.91503906
2019-01-04 23:10:00,0.9453125
2019-01-05 00:10:00,0.78027344
2019-01-05 01:10:00,0.75976562
2019-01-05 02:10:00,0.71972656
2019-01-05 03:10:00,0.39526368
2019-01-05 04:10:00,0.35961914
2019-01-05 05:10:00,0.52026366
2019-01-05 06:10:00,0.43457032
2019-01-05 07:10:00,0.45043946
2019-01-05 08:10:00,0.63012694
2019-01-05 09:10:00,0.76513672
2019-01-05 10:10:00,1.40454102
2019-01-05 11:10:00,0.76489258
2019-01-05 12:10:00,0.89038086
2019-01-05 13:10:00,1.59960938
2019-01-05 14:10:00,0.56542968
2019-01-05 15:10:00,0.75488282
2019-01-05 16:10:00,2.33007812
2019-01-05 17:10:00,2.20996094
2019-01-05 18:10:00,0.59960938
2019-01-05 19:10:00,0.98535156
2019-01-05 20:10:00,1.14477538
2019-01-05 21:10:00,1.86010742
2019-01-05 22:10:00,1.24023438
2019-01-05 23:10:00,2.13476562
2019-01-06 00:10:00,0.98535156
2019-01-06 01:10:00,0.875
2019-01-06 02:10:00,0.93945314
2019-01-06 03:10:00,0.375
2019-01-06 04:10:00,0.38061522
2019-01-06 05:10:00,0.52465822
2019-01-06 06:10:00,0.51538086
2019-01-06 07:10:00,0.5246582
2019-01-06 08:10:00,0.75024414
2019-01-06 09:10:00,0.60498046
2019-01-06 10:10:00,0.45996094
2019-01-06 11:10:00,0.47973632
2019-01-06 12:10:00,0.37988282
2019-01-06 13:10:00,0.44018554
2019-01-06 14:10:00,0.77001954
2019-01-06 15:10:00,0.9802246
2019-01-06 16:10:00,1.13964844
2019-01-06 17:10:00,0.93041992
